group,day,volume,std
QI+Anti-PD-L1+Anti-CTLA-4,10,0,0
QI+Anti-PD-L1+Anti-CTLA-4,15,262.02,185.71
QI+Anti-PD-L1+Anti-CTLA-4,17,500.79,581.78
QI+Anti-PD-L1,10,21.75,24.7
QI+Anti-PD-L1,15,265.2,222.43
QI+Anti-PD-L1,17,460.15,326.98
QI+Anti-CTLA-4,10,21.93,33.32
QI+Anti-CTLA-4,15,139.67,99.58
QI+Anti-CTLA-4,17,413.67,252.6
QI,10,53.38,45.23
QI,15,398.3,122.79
QI,17,762.63,491
Anti-PD-L1+Anti-CTLA-4,10,18.62,26.76
Anti-PD-L1+Anti-CTLA-4,15,206.26,146.63
Anti-PD-L1+Anti-CTLA-4,17,538.27,286.76
Anti-PD-L1,10,24.68,16.82
Anti-PD-L1,15,78.16,53.6
Anti-PD-L1,17,223.5,164.39
Anti-CTLA-4,10,19.23,16.53
Anti-CTLA-4,15,113.96,105.63
Anti-CTLA-4,17,355.91,315.31
Controle,10,19.11,18.37
Controle,15,114.04,119.21
Controle,17,266.1,228.6
